size,matmul_1_gpu_1,matmul_1_gpu_2,matmul_1_gpu_3
64,2.52480022e-05,2.3296001e-05,2.73600017e-05
128,2.29119996e-05,2.29119996e-05,2.33280025e-05
192,2.94400015e-05,3.05920003e-05,3.32800009e-05
256,5.00480019e-05,5.59360051e-05,5.19680034e-05
320,5.504e-05,5.78880026e-05,5.37600026e-05
384,8.81920059e-05,9.00800078e-05,8.61440058e-05
448,0.000109536006,0.000125952007,0.000106464002
512,0.000203712014,0.000184384015,0.00018384002
576,0.000199008005,0.000199808012,0.000206048004
640,0.000314432022,0.000320192019,0.000316640013
704,0.000354016025,0.000342464016,0.00035446402
768,0.000582432025,0.000587232003,0.00059359998
832,0.000569728028,0.000563584035,0.000570783974
896,0.000894240045,0.000882496068,0.000914080068
960,0.00081219204,0.000798847992,0.000811936043
1024,0.00115145603,0.0011584321,0.00115728006
1088,0.00124633603,0.00123929605,0.00127779203
1152,0.00185993605,0.00183920015,0.0018147201
1216,0.0017845761,0.00169628812,0.00175558403
1280,0.00239600008,0.00230384013,0.00237340829
1344,0.00237782416,0.00241721608,0.00240208022
1408,0.00339638419,0.00334576028,0.00343379239
1472,0.00303132809,0.00302912015,0.00302016013
1536,0.00418140832,0.0042697601,0.00422518421
1600,0.00399804814,0.00407824013,0.00399161642
1664,0.00545660825,0.00550163258,0.00547692832
1728,0.00508752046,0.00509622414,0.00508691231
1792,0.00705337664,0.00703414436,0.00707779266
1856,0.00628630444,0.0062926407,0.00636339234
1920,0.00819583982,0.00821667258,0.00813779235
1984,0.00772755221,0.00772864046,0.0077408324
2048,0.00937785674,0.00939612836,0.00948281586
2112,0.0093713291,0.00929398462,0.00946611259
2176,0.0121132806,0.0120805129,0.0121150725
2240,0.0110695371,0.0110217603,0.0109552965
2304,0.0139967045,0.0139240967,0.0139961923
2368,0.0133964485,0.0133818565,0.0133504327
2432,0.0177374091,0.0178682897,0.017719008
2496,0.0156497918,0.015539201,0.0156358089
2560,0.0184523202,0.0185259841,0.0185387842
2624,0.0184532795,0.0185113288,0.0184291527
2688,0.0224458892,0.0223552324,0.0224097613
2752,0.0212752018,0.0212464649,0.0214206725
2816,0.0279932823,0.0278438739,0.0277666878
2880,0.0240181759,0.0238929931,0.023973057
2944,0.0311029144,0.0312813148,0.0312898569
3008,0.0279136971,0.0279310737,0.0277709458
3072,0.0341604464,0.0341331549,0.0342060812
3136,0.0314600989,0.0314309448,0.0312985294
3200,0.0396838747,0.0400099531,0.0398327708
